word,part_of_speech,level,category
problem,n,A1,Abstract Nouns
advice,n,A1,Abstract Nouns
conversation,n,A1,Abstract Nouns
culture,n,A1,Abstract Nouns
design,n,A1,Abstract Nouns
design,v,A1,Abstract Nouns
difference,n,A1,Abstract Nouns
event,n,A1,Abstract Nouns
feeling,n,A1,Abstract Nouns
form,n,A1,Abstract Nouns
form,v,A1,Abstract Nouns
group,n,A1,Abstract Nouns
interest,n,A1,Abstract Nouns
interest,v,A1,Abstract Nouns
kind (type),n,A1,Abstract Nouns
model,n,A1,Abstract Nouns
money,n,A1,Abstract Nouns
name,n,A1,Abstract Nouns
name,v,A1,Abstract Nouns
news,n,A1,Abstract Nouns
number,n,A1,Abstract Nouns
object,n,A1,Abstract Nouns
opinion,n,A1,Abstract Nouns
order,n,A1,Abstract Nouns
order,v,A1,Abstract Nouns
plan,n,A1,Abstract Nouns
plan,v,A1,Abstract Nouns
point,n,A1,Abstract Nouns
practice,n,A1,Abstract Nouns
practice,v,A1,Abstract Nouns
price,n,A1,Abstract Nouns
product,n,A1,Abstract Nouns
result,n,A1,Abstract Nouns
routine,n,A1,Abstract Nouns
rule,n,A1,Abstract Nouns
situation,n,A1,Abstract Nouns
skill,n,A1,Abstract Nouns
statement,n,A1,Abstract Nouns
story,n,A1,Abstract Nouns
style,n,A1,Abstract Nouns
success,n,A1,Abstract Nouns
topic,n,A1,Abstract Nouns
type,n,A1,Abstract Nouns
fun,n,A1,Abstract Nouns
mistake,n,A1,Abstract Nouns
part,n,A1,Abstract Nouns
place,n,A1,Abstract Nouns
action,n,A1,Activities
activity,n,A1,Activities
letter,n,A1,Communication
message,n,A1,Communication
email,n,A1,Communication
email,v,A1,Communication
call,v,A1,Communication
call,n,A1,Communication
text,n,A1,Communication
dialogue,n,A1,Communication
phrase,n,A1,Communication
spelling,n,A1,Communication
writing,n,A1,Communication
cent,n,A1,Measurement
dollar,n,A1,Measurement
euro,n,A1,Measurement
